frame,x,y,visible
0.0,-1.0,-1.0,0.0
1.0,-1.0,-1.0,0.0
2.0,-1.0,-1.0,0.0
3.0,878.0,350.5,1.0
4.0,878.0999755859375,350.1000061035156,1.0
5.0,878.0,350.20001220703125,1.0
6.0,878.0,350.29998779296875,1.0
7.0,555.2999877929688,712.7999877929688,1.0
8.0,-1.0,-1.0,0.0
9.0,-1.0,-1.0,0.0
10.0,-1.0,-1.0,0.0
11.0,-1.0,-1.0,0.0
12.0,-1.0,-1.0,0.0
13.0,-1.0,-1.0,0.0
14.0,-1.0,-1.0,0.0
15.0,-1.0,-1.0,0.0
16.0,-1.0,-1.0,0.0
17.0,-1.0,-1.0,0.0
18.0,-1.0,-1.0,0.0
19.0,-1.0,-1.0,0.0
20.0,-1.0,-1.0,0.0
21.0,-1.0,-1.0,0.0
22.0,-1.0,-1.0,0.0
23.0,-1.0,-1.0,0.0
24.0,-1.0,-1.0,0.0
25.0,554.9000244140625,713.0,1.0
26.0,555.0,712.7000122070312,1.0
27.0,555.2999877929688,712.5,1.0
28.0,555.2000122070312,712.4000244140625,1.0
29.0,555.5999755859375,712.7000122070312,1.0
30.0,-1.0,-1.0,0.0
